,reduced lam,ESS,ESS (with warmup)
0,-2.5,0.07170000672340393,0.02043273113667965
1,-1.8333332538604736,0.0643845871090889,0.01925947330892086
2,-1.1666667461395264,0.04292275011539459,0.01628686673939228
3,-0.49999988079071045,0.03401206061244011,0.014373013749718666
4,0.16666662693023682,0.04549383372068405,0.015649084001779556
5,0.8333334922790527,0.05090958625078201,0.016106583178043365
6,1.5000001192092896,0.054448436945676804,0.016276901587843895
7,2.1666667461395264,0.06480460613965988,0.017148464918136597
8,2.8333334922790527,0.06390320509672165,0.016979394480586052
9,3.5,0.06551219522953033,0.017230931669473648
10,4.1666669845581055,0.06957005709409714,0.017512954771518707
11,4.833333492279053,0.06840725243091583,0.01745566353201866
12,5.5,0.06919616460800171,0.017602352425456047
13,6.1666669845581055,0.07066471129655838,0.01784837804734707
14,6.833333492279053,0.06953941285610199,0.017783835530281067
15,7.5,0.06823299080133438,0.0178176611661911
