,reduced lam,ESS,ESS (with warmup)
0,-2.5,0.0,0.0
1,-1.8333332538604736,0.016260163858532906,0.005361930467188358
2,-1.1666667461395264,0.0028653296176344156,0.002109704539179802
3,-0.49999988079071045,0.00909090880304575,0.0042553190141916275
4,0.16666662693023682,0.01599999889731407,0.005333333276212215
5,0.8333334922790527,0.012269939295947552,0.004842615220695734
6,1.5000001192092896,0.015810275450348854,0.005312085151672363
7,2.1666667461395264,0.014814814552664757,0.005194805096834898
8,2.8333334922790527,0.014760147780179977,0.005188067443668842
9,3.5,0.016736403107643127,0.005412719678133726
10,4.1666669845581055,0.01593625545501709,0.005326231475919485
11,4.833333492279053,0.016460904851555824,0.005383580457419157
12,5.5,0.01599999889731407,0.005333333276212215
13,6.1666669845581055,0.014440433122217655,0.005148005206137896
14,6.833333492279053,0.017167381942272186,0.005457025952637196
15,7.5,0.017937220633029938,0.005532503593713045
