,reduced lam,ESS,ESS (with warmup)
0,-2.5,0.045233175,0.013541242
1,-1.8333333,0.032753237,0.011959248
2,-1.1666667,0.028654115,0.0111513855
3,-0.49999988,0.014477437,0.007979519
4,0.16666663,0.020138146,0.00927523
5,0.8333335,0.030450359,0.010866415
6,1.5000001,0.038102493,0.011583413
7,2.1666667,0.043469436,0.01196363
8,2.8333335,0.04740834,0.012246059
9,3.5,0.04750067,0.012306082
10,4.166667,0.050257992,0.012483549
11,4.8333335,0.048893377,0.012460302
12,5.5,0.05255505,0.012756254
13,6.166667,0.053681664,0.012865445
14,6.8333335,0.057387706,0.013167893
15,7.5,0.0551501,0.0130653195
