,reduced lam,ESS,ESS (with warmup)
0,-2.5,0.0,0.0
1,-1.8333333,0.0,0.0
2,-1.1666667,0.0,0.0
3,-0.49999988,0.0025963436,0.001966568
4,0.16666663,0.008148056,0.003985759
5,0.8333335,0.016327776,0.0051758876
6,1.5000001,0.01968995,0.0053397566
7,2.1666667,0.020934954,0.0052247094
8,2.8333335,0.021844234,0.0051276186
9,3.5,0.022468206,0.005071072
10,4.166667,0.022690142,0.004955954
11,4.8333335,0.02380442,0.004972452
12,5.5,0.023936996,0.0049208864
13,6.166667,0.024360733,0.0049090427
14,6.8333335,0.025234045,0.004922547
15,7.5,0.026134454,0.004930133
