model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,num_tuning_steps,ESS
Brownian,32,adjusted_mclmc:0.91.3,5.656854152679443,1.1170719861984253,velocity_verlet,standard,0.9102258086204529,True,0.0,0.01873975433409214,inf,inf,inf,20000,128,avg,1,1000,0.0044354707933962345
Brownian,32,adjusted_mclmc:0.91.3,5.656854152679443,1.1852777004241943,velocity_verlet,standard,0.8936270475387573,True,0.0,0.019924219697713852,inf,inf,inf,20000,128,avg,1,5000,0.004626062698662281
Brownian,32,adjusted_mclmc:0.91.3,1.0023279190063477,0.16627264022827148,velocity_verlet,standard,0.9003215432167053,False,0.0,0.019502853974699974,inf,inf,inf,20000,128,avg,1,1000,0.003522113198414445
Brownian,32,adjusted_mclmc:0.91.3,1.0281476974487305,0.17767798900604248,velocity_verlet,standard,0.8821249008178711,False,0.0,0.026152921840548515,inf,inf,inf,20000,128,avg,1,5000,0.0037118818145245314
Brownian,32,adjusted_mclmc:0.91.3,5.656854152679443,1.0927398204803467,velocity_verlet,standard,0.9239541292190552,True,0.0,0.019240867346525192,inf,inf,inf,20000,128,avg,2,1000,0.0036120039876550436
Brownian,32,adjusted_mclmc:0.91.3,5.656854152679443,1.16074800491333,velocity_verlet,standard,0.8998106718063354,True,0.0,0.02526484988629818,inf,inf,inf,20000,128,avg,2,5000,0.004850463010370731
Brownian,32,adjusted_mclmc:0.91.3,1.0312556028366089,0.1590515524148941,velocity_verlet,standard,0.9039115309715271,False,0.0,0.023574676364660263,inf,inf,inf,20000,128,avg,2,1000,0.0038641015999019146
Brownian,32,adjusted_mclmc:0.91.3,1.0354499816894531,0.17245495319366455,velocity_verlet,standard,0.8944128751754761,False,0.0,0.025730933994054794,inf,inf,inf,20000,128,avg,2,5000,0.0035471771843731403
Brownian,32,adjusted_mclmc:0.91.3,5.656854152679443,0.9995895028114319,velocity_verlet,standard,0.9328086376190186,True,0.0,0.014936551451683044,inf,inf,inf,20000,128,avg,3,1000,0.0031778684351593256
Brownian,32,adjusted_mclmc:0.91.3,5.656854152679443,1.1377379894256592,velocity_verlet,standard,0.9062721133232117,True,0.0,0.02126222290098667,inf,inf,inf,20000,128,avg,3,5000,0.004019421990960836
Brownian,32,adjusted_mclmc:0.91.3,0.988370954990387,0.15099957585334778,velocity_verlet,standard,0.9171282052993774,False,0.0,0.019806256517767906,inf,inf,inf,20000,128,avg,3,1000,0.0032949664164334536
Brownian,32,adjusted_mclmc:0.91.3,1.018927812576294,0.16648297011852264,velocity_verlet,standard,0.8931936025619507,False,0.0,0.022054284811019897,inf,inf,inf,20000,128,avg,3,5000,0.004274086095392704
Brownian,32,nuts,0.5681462287902832,0.03591956943273544,velocity_verlet,standard,0.7928701043128967,False,0.0,0.019410451874136925,inf,inf,inf,20000,128,,-1,500,0.0033239885233342648
Brownian,32,nuts,0.5699864625930786,0.035194117575883865,velocity_verlet,standard,0.8005867600440979,False,0.0,0.019493592903017998,inf,inf,inf,20000,128,,-1,250,0.003452334087342024
Brownian,32,nuts,4.5322065353393555,0.20337128639221191,velocity_verlet,standard,0.874824047088623,True,0.0,0.021513547748327255,inf,inf,inf,20000,128,,-1,500,0.0033122992608696222
Brownian,32,nuts,4.639622688293457,0.20999504625797272,velocity_verlet,standard,0.8772408366203308,True,0.0,0.015818549320101738,inf,inf,inf,20000,128,,-1,250,0.003219704842194915
