model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,num_tuning_steps,tuning_integrator_steps,ESS
Gaussian_Gamma_1,100,adjusted_mclmc_with_nuts_tuning_alba_True:0.91.3,20.0,0.1412610113620758,velocity_verlet,standard,0.9094268679618835,True,0.0,0.0012352203484624624,inf,inf,inf,10000,128,avg,2,0,286676.375,0.00017925027350429446
Gaussian_Gamma_1,100,adjusted_mclmc_with_nuts_tuning_alba_True:0.91.3,20.0,0.13301607966423035,velocity_verlet,standard,0.9113198518753052,True,0.2,0.0010581410024315119,inf,inf,inf,10000,128,avg,2,0,296887.125,0.0001631322520552203
