model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,ESS
Gaussian_outliers_216,100,mclmc:st3,23.43415069580078,12.233442306518555,mclachlan,standard,1.0,False,0.0,0.18796992301940918,inf,inf,inf,100000,128,False,1,0.00591996219009161
Gaussian_outliers_216,100,mclmc:st3,22.40276336669922,12.29079532623291,mclachlan,standard,1.0,False,0.0,0.19083969295024872,inf,inf,inf,100000,128,False,2,0.005016051232814789
Gaussian_outliers_216,100,adjusted_mclmc:0.91.0,149.15460205078125,13.165641784667969,mclachlan,standard,0.9047930836677551,False,0.0,0.012712711468338966,inf,inf,inf,40000,128,max,2,0.0017018946819007397
Gaussian_outliers_216,100,adjusted_mclmc:0.91.3,29.398351669311523,13.244382858276367,mclachlan,standard,0.9027068614959717,False,0.0,0.06721906363964081,inf,inf,inf,40000,128,avg,2,0.004365720320492983
Gaussian_outliers_216,100,adjusted_mclmc:0.91.0,148.62173461914062,12.024539947509766,mclachlan,standard,0.9045531749725342,False,0.8,0.01536692213267088,inf,inf,inf,40000,128,max,2,0.0021082423627376556
Gaussian_outliers_216,100,adjusted_mclmc:0.91.3,29.530960083007812,13.870258331298828,mclachlan,standard,0.9230733513832092,False,0.8,0.11239095777273178,inf,inf,inf,40000,128,avg,2,0.004518989939242601
Gaussian_outliers_216,100,adjusted_hmc:0.91.3,69.76164245605469,1.7598284482955933,mclachlan,standard,0.7226592302322388,False,0.0,0.002186625264585018,inf,inf,inf,40000,128,max,3,0.00025687413290143013
Gaussian_outliers_216,100,adjusted_hmc:0.91.3,28.983787536621094,1.7855957746505737,mclachlan,standard,0.6957513093948364,False,0.0,0.00526580773293972,inf,inf,inf,40000,128,avg,3,0.0006043059984222054
Gaussian_outliers_216,100,nuts,0.0,0.0,velocity_verlet,standard,0.803399384021759,False,0.0,0.04326119273900986,inf,inf,inf,40000,128,,-1,0.0012549395905807614
