,reduced lam,ESS,ESS (with warmup)
0,-2.5,0.0,0.0
1,-1.8333333,0.0,0.0
2,-1.1666667,0.0,0.0
3,-0.49999988,0.0032226876,0.0027754647
4,0.16666663,0.0026910657,0.0023719165
5,0.8333335,0.0038759687,0.003246753
6,1.5000001,0.0038226298,0.0032092426
7,2.1666667,0.00447828,0.0036589827
8,2.8333335,0.0047415835,0.003832886
9,3.5,0.005002501,0.0040016
10,4.166667,0.0053134956,0.0041981526
11,4.8333335,0.006082725,0.004664179
12,5.5,0.006281407,0.004780114
13,6.166667,0.005966587,0.0045955884
14,6.8333335,0.007251631,0.005321979
15,7.5,0.008116882,0.0057736714
