,reduced lam,ESS,ESS (with warmup)
0,-2.5,0.034602072,0.01267427
1,-1.8333333,0.037878785,0.013089004
2,-1.1666667,0.03367003,0.01254705
3,-0.49999988,0.028818442,0.011806374
4,0.16666663,0.029325511,0.011890605
5,0.8333335,0.033557046,0.012531326
6,1.5000001,0.0420168,0.013550133
7,2.1666667,0.045045044,0.013850415
8,2.8333335,0.04926108,0.01422475
9,3.5,0.052356016,0.01447178
10,4.166667,0.05494505,0.014662756
11,4.8333335,0.054054048,0.014598539
12,5.5,0.055248618,0.014684287
13,6.166667,0.054347824,0.014619881
14,6.8333335,0.054347824,0.014619881
15,7.5,0.05617977,0.014749261
