,reduced lam,ESS,ESS (with warmup)
0,-2.5,0.021276595070958138,0.0058139534667134285
1,-1.8333332538604736,0.02150537818670273,0.00583090353757143
2,-1.1666667461395264,0.022346369922161102,0.005891016218811274
3,-0.49999988079071045,0.019323671236634254,0.005657708737999201
4,0.16666662693023682,0.017777778208255768,0.005517241545021534
5,0.8333334922790527,0.02010050229728222,0.005722460802644491
6,1.5000001192092896,0.02247191034257412,0.005899704992771149
7,2.1666667461395264,0.021978022530674934,0.005865102633833885
8,2.8333334922790527,0.023391813039779663,0.0059612519107759
9,3.5,0.024539878591895103,0.006033182609826326
10,4.1666669845581055,0.02484472095966339,0.006051436997950077
11,4.833333492279053,0.024390242993831635,0.0060240961611270905
12,5.5,0.024390242993831635,0.0060240961611270905
13,6.1666669845581055,0.02500000037252903,0.0060606058686971664
14,6.833333492279053,0.025974024087190628,0.00611620768904686
15,7.5,0.02500000037252903,0.0060606058686971664
