ESS,L,L err,eps,eps err,Var[E]/d,Var[E]/d err
0.07057163020465773,12.026821510267826,1.7824643434251837,9.587936440187125,0.08619889940824231,0.02747192479017998,0.0042804576588885
0.040290088638195005,12.54542564750277,1.4090461071745242,9.57655675466619,0.10057658986985346,0.02773142411633388,0.004795811721224716
0.0,12.868134582275005,1.185424337236763,9.521274108734664,0.13103575822543967,0.025761412733152845,0.006088537246003422
0.054466230936819175,13.528016003083689,1.008010385404106,9.537193971221075,0.13141821360180794,0.026329411245112247,0.006610389873830487
0.1201923076923077,14.064175130380749,0.8900880394546888,9.59149452202556,0.12826361081445534,0.028203000732143744,0.00598075803874041
0.11961722488038277,14.703283920472574,0.725524005070392,9.598479878045147,0.13880942279050038,0.028556463130859015,0.006907698484803154
0.234192037470726,14.802582284202071,0.6987539885192393,9.594801801388211,0.11430354102265622,0.027844526673641706,0.004883618490522826
0.27548209366391185,14.981329412962502,0.3005625215722408,9.602529646546728,0.1279898465366411,0.02857965267910701,0.005685716036790559
0.27932960893854747,14.91485300383691,0.2430045295836413,9.616639015860116,0.09034990013277855,0.0291108357057962,0.0040091189378043835
0.3021148036253776,14.852279848514655,0.15899162164629094,9.619931394555326,0.1001907183685682,0.02981153229458705,0.004514632864321402
0.3257328990228013,14.810938980810585,0.0992204209628345,9.619219341428144,0.11664466381433913,0.03040592181806509,0.005171151795117846
0.3215434083601286,14.654858859914267,0.06518919926414432,9.530446465768048,0.087016479544276,0.026845315061079615,0.003790128654813836
0.32362459546925565,14.548673384339246,0.05745186387452966,9.537806428986036,0.07950935629253125,0.027851284030974994,0.003532771197099648
0.3215434083601286,14.422782699724706,0.06451430962241635,9.50786799871695,0.10925513148688923,0.027464269197127415,0.00464988017991822
0.32894736842105265,14.320314677129371,0.06200061837167832,9.564060127059799,0.07234174986469045,0.030743666499243,0.003244421432928332
0.3257328990228013,14.209122377201837,0.0500720943430087,9.458175630547668,0.11597124973774577,0.027014120487568394,0.005253803474267016
