model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,worst,num_windows,ESS
IllConditionedGaussian10,100,mclmc,9.897651672363281,9.385218620300293,mclachlan,standard,1.0,False,0.0,0.21276596188545227,inf,inf,inf,20000,False,1,0.027979854494333267
IllConditionedGaussian10,100,mhmclmc:0.9,17.537878036499023,9.246816635131836,mclachlan,standard,0.9155903458595276,False,0.0,0.1261386126279831,0.9613608717918396,0.9495822191238403,0.9612165689468384,20000,True,1,0.012791349552571774
IllConditionedGaussian10,100,mhmclmc:0.9,17.90786361694336,9.252750396728516,mclachlan,standard,0.9152306318283081,False,0.0,0.1067398265004158,0.981753945350647,0.963623046875,0.9814189672470093,20000,True,2,0.01051324326545
IllConditionedGaussian10,100,mhmclmc:0.9,11.15032958984375,9.593404769897461,mclachlan,standard,0.9049237966537476,False,0.0,0.17274080216884613,0.43990081548690796,0.4340372383594513,0.43982264399528503,20000,False,1,0.015367080457508564
IllConditionedGaussian10,100,mhmclmc:0.9,11.11574935913086,9.835275650024414,mclachlan,standard,0.8961296677589417,False,0.0,0.174859881401062,0.4270336329936981,0.4267714023590088,0.4270334839820862,20000,False,2,0.02307749167084694
IllConditionedGaussian10,100,nuts,0.0,0.0,velocity_verlet,standard,0.8058431148529053,False,0.0,0.02828814461827278,inf,inf,inf,20000,,-1,0.004317482467740774
