model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,worst,ESS
IllConditionedGaussian12916,100,mhmchmc:grid_edgeTrue,-13.283899307250977,-1.0597660541534424,mclachlan,gridsearch,0.9929342269897461,False,0.0,0.0,0.6334863901138306,0.5879786014556885,0.6328698396682739,200,True,0.0
IllConditionedGaussian12916,100,mclmc,0.42516565322875977,0.21777474880218506,mclachlan,standard,1.0,False,0.0,0.0,inf,inf,inf,200,False,0.0
IllConditionedGaussian12916,100,mhmclmc:0.9,7.039679527282715,1.0966087579727173,mclachlan,standard,0.9898262023925781,False,0.0,0.0,0.4352034032344818,0.08630172163248062,0.29962727427482605,200,False,0.0
IllConditionedGaussian12916,100,mhmclmc:0.9,9.151456832885742,1.0274385213851929,mclachlan,standard,0.9916670918464661,False,0.0,0.0,0.519609272480011,0.29463881254196167,0.4871363639831543,200,True,0.0
IllConditionedGaussian12916,100,mhmclmc:st3:0.9,5.91668701171875,0.9260820150375366,mclachlan,standard,0.994763195514679,False,0.0,0.0,0.46486860513687134,0.3902215361595154,0.45920515060424805,200,False,0.0
IllConditionedGaussian12916,100,nuts,0.0,0.0,mclachlan,standard,0.8001255393028259,False,0.0,0.0,inf,inf,inf,200,,0.0
IllConditionedGaussian12916,100,mclmc,0.01404139120131731,0.045670684427022934,mclachlan,standard,1.0,True,0.0,0.0,inf,inf,inf,200,False,0.0
IllConditionedGaussian12916,100,mhmclmc:0.9,10.0,6.511666297912598,mclachlan,standard,0.9806137084960938,True,0.0,0.0,0.22229479253292084,0.06578578054904938,0.170175239443779,200,False,0.0
IllConditionedGaussian12916,100,mhmclmc:0.9,10.0,6.648320198059082,mclachlan,standard,0.9788328409194946,True,0.0,0.0,0.22048497200012207,0.06023525074124336,0.16402000188827515,200,True,0.0
IllConditionedGaussian12916,100,mhmclmc:st3:0.9,8.79333782196045,6.59954833984375,mclachlan,standard,0.9508864283561707,True,0.0,0.0,0.2036505490541458,0.151522696018219,0.19627967476844788,200,False,0.0
IllConditionedGaussian12916,100,nuts,0.0,0.0,mclachlan,standard,0.8359123468399048,True,0.0,0.0,inf,inf,inf,200,,0.0
