model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,inv_ess_corr,num_steps,ESS
Brownian,32,mhmchmc:grid_edgeFalse,1.7411562204360962,0.3198426365852356,mclachlan,gridsearch,0.9018135070800781,False,0.0,0.03492310643196106,0.37393152713775635,20000,0.0053245085291564465
Brownian,32,mclmc,2.3109841346740723,0.3187810778617859,mclachlan,standard,1.0,False,0.0,0.08460237085819244,inf,20000,0.0133976424112916
Brownian,32,mhmclmc:0.9,0.8264124393463135,0.39471495151519775,mclachlan,standard,0.8700522184371948,False,0.0,0.018241599202156067,inf,20000,0.003788349451497197
Brownian,32,mhmclmc:st3:0.9,1.9327678680419922,0.33434298634529114,mclachlan,standard,0.8883408904075623,False,0.0,0.029054030776023865,inf,20000,0.0055141812190413475
Brownian,32,nuts,0.0,0.0,mclachlan,standard,0.7910232543945312,False,0.0,0.020706214010715485,inf,20000,0.0036864241119474173
