model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,worst,ESS
IllConditionedGaussian600,100,mhmchmc:grid_edgeTrue,-12.75991153717041,-3.8773159980773926,mclachlan,gridsearch,0.9162635803222656,False,0.0,0.0,0.6373664140701294,0.5644113421440125,0.6347187161445618,200,True,0.0
IllConditionedGaussian600,100,mclmc,1.827703833580017,0.911101758480072,mclachlan,standard,1.0,False,0.0,0.0,inf,inf,inf,200,False,0.0
IllConditionedGaussian600,100,mhmclmc:0.9,11.51494312286377,2.3523032665252686,mclachlan,standard,0.9798752069473267,False,0.0,0.0,0.6121511459350586,0.2421920895576477,0.5447490215301514,200,False,0.0
IllConditionedGaussian600,100,mhmclmc:0.9,24.444042205810547,2.1081554889678955,mclachlan,standard,0.9833430647850037,False,0.0,0.0,0.7408714890480042,0.2421920895576477,0.6306180953979492,200,True,0.0
IllConditionedGaussian600,100,mhmclmc:st3:0.9,5.830309867858887,2.994833469390869,mclachlan,standard,0.9578690528869629,False,0.0,0.0,0.41077032685279846,0.19137273728847504,0.35252246260643005,200,False,0.0
IllConditionedGaussian600,100,nuts,0.0,0.0,mclachlan,standard,0.8015389442443848,False,0.0,0.0,inf,inf,inf,200,,0.0
IllConditionedGaussian600,100,mclmc,6.785311222076416,3.9705300331115723,mclachlan,standard,1.0,True,0.0,0.0,inf,inf,inf,200,False,0.0
IllConditionedGaussian600,100,mhmclmc:0.9,10.0,8.983290672302246,mclachlan,standard,0.9678455591201782,True,0.0,0.0,0.23251448571681976,0.11593712866306305,0.21338240802288055,200,False,0.0
IllConditionedGaussian600,100,mhmclmc:0.9,10.0,9.024107933044434,mclachlan,standard,0.9665334820747375,True,0.0,0.0,0.2298930436372757,0.11593712866306305,0.2114381641149521,200,True,0.0
IllConditionedGaussian600,100,mhmclmc:st3:0.9,8.888060569763184,8.086263656616211,mclachlan,standard,0.9841082692146301,True,0.0,0.0,0.1668744832277298,0.1334068477153778,0.16378642618656158,200,False,0.0
IllConditionedGaussian600,100,nuts,0.0,0.0,mclachlan,standard,0.8412628173828125,True,0.0,0.0,inf,inf,inf,200,,0.0
