model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,inv_ess_corr,num_steps,ESS
Brownian,32,mhmchmc:grid_edgeFalse,2.52878475189209,0.3104301989078522,mclachlan,gridsearch,0.8942304849624634,False,0.0,0.03147657588124275,0.455316424369812,20000,0.005641481839120388
Brownian,32,mclmc,2.233985185623169,0.31025931239128113,mclachlan,standard,1.0,False,0.0,0.06934812664985657,inf,20000,0.010593220591545105
Brownian,32,mhmclmc:0.9,0.8296024799346924,0.3924121856689453,mclachlan,standard,0.8687886595726013,False,0.0,0.02231273613870144,inf,20000,0.0033350333105772734
Brownian,32,mhmclmc:st3:0.9,1.872951865196228,0.3353913426399231,mclachlan,standard,0.8912989497184753,False,0.0,0.03418928012251854,inf,20000,0.0058454833924770355
Brownian,32,nuts,0.0,0.0,mclachlan,standard,0.7837153673171997,False,0.0,0.018979854881763458,inf,20000,0.003650818020105362
