model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,ESS
Gaussian_linear_1.0,3,mhmchmc:grid_edgeFalse,2.963998317718506,2.8851261138916016,mclachlan,gridsearch,0.9270331859588623,False,0.0,0.4089873731136322,0.706730306148529,0.5819265246391296,0.7018898725509644,1000,128,True,1,0.18092750012874603
Gaussian_linear_1.0,3,mhmchmc:grid_edgeFalse,2.4424891471862793,2.4140515327453613,mclachlan,gridsearch,0.9596323370933533,False,0.0,0.39853110909461975,0.5342662334442139,0.43124327063560486,0.5307398438453674,1000,128,False,1,0.2256523221731186
Gaussian_linear_1.0,3,mclmc:grid_edgeFalse,2.4217395782470703,2.204056978225708,mclachlan,gridsearch,1.0,False,0.0,0.54347825050354,0.6040902137756348,0.5813312530517578,0.6038646101951599,1000,128,True,1,0.21739129722118378
Gaussian_linear_1.0,3,mhmchmc:grid_edgeFalse,2.8165321350097656,2.756964921951294,omelyan,gridsearch,0.9820333123207092,False,0.0,0.2358676791191101,0.8225127458572388,0.7067139148712158,0.8176385760307312,1000,128,True,1,0.12159638106822968
Gaussian_linear_1.0,3,mhmchmc:grid_edgeFalse,2.602937698364258,2.563986301422119,omelyan,gridsearch,0.9868470430374146,False,0.0,0.23177310824394226,0.6956849098205566,0.5720747113227844,0.692232608795166,1000,128,False,1,0.10706909745931625
Gaussian_linear_1.0,3,mclmc:grid_edgeFalse,2.201467752456665,2.783878803253174,omelyan,gridsearch,1.0,False,0.0,0.25974026322364807,0.9294096231460571,0.8338637351989746,0.9281932711601257,1000,128,True,1,0.125
Gaussian_linear_1.0,3,mhmchmc:grid_edgeFalse,2.9223456382751465,2.8524458408355713,velocity_verlet,gridsearch,0.7281880378723145,False,0.0,1.1760010719299316,0.9490399360656738,0.8080277442932129,0.9463374614715576,1000,128,True,1,0.5915641784667969
Gaussian_linear_1.0,3,mhmchmc:grid_edgeFalse,2.602069616317749,2.5630884170532227,velocity_verlet,gridsearch,0.7948094606399536,False,0.0,1.3133587837219238,0.7542850971221924,0.6016872525215149,0.7521999478340149,1000,128,False,1,0.6438033580780029
Gaussian_linear_1.0,3,mclmc:grid_edgeFalse,2.1891465187072754,1.0880095958709717,velocity_verlet,gridsearch,1.0,False,0.0,0.49504950642585754,0.2693960964679718,0.25543612241744995,0.2692388594150543,1000,128,True,1,0.18018017709255219
